artist,genre,video_id,video_title,channel_title,period,text,likes
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Es la canción que más odia porque con esa canción fue su firma al venderse a la industria,0
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Rip roach,4
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Y’all’s know Tyler hates this song?,4
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,2026 still playing this and the fact he said this is the worst song he made MADE me unfollow Tyler The Creator… know your roots.,2
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,May 2026 and we are here still!!,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,the fuck just happened?,2
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Still best song ever,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,That one A-pose heavy,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,"No longer age restricted, Thank the nonexistent gods🙏",1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,15 years and still 🔥,2
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Who’s listening in 2026?!,30
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,He used to be good,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,Who thinks eminem would be amazing on this beat ?,2
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,First song I ever heard from Tyler...answer is my fav tho always n forevers,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,That roach is live to this day,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,NO BC WHAT POSSESSED HIM TO WHERE HE ATE A LIVE ROACH,1
"Tyler, The Creator",Alternative,XSbZidsgMfw,Tyler The Creator - Yonkers,OFWGKTA,Goblin期（過激な無名期）,I remember when I first heard this there was nothing sicker than this at that moment still fire,2
