video_id,key,song_name,artist_name,beef_id,track_category,release_date,collected_at,view_count,comment_count,like_count,channel_title,video_title,artist_side,release_date_dt,collected_at_dt,days_since_release,view_efficiency,like_efficiency,win_loss_side,verdict,outcome_type
t61T0Wu7slg,b5_post_wayne_02,Don't Cry ft. XXXTENTACION,Lil Wayne,b5,post,2024-10-02,2026-07-15T01:51:00.514146+00:00,9848149,12332,355172,LilWayneVEVO,Lil Wayne - Don't Cry ft. XXXTENTACION,wayne,2024-10-02,2026-07-15,651,15127.725038402457,545.57910906298,winner,clear,legal
MGb5VUeartE,b5_post_wayne_03,Peanuts 2 N Elephants,Lil Wayne,b5,post,2025-06-06,2026-07-15T01:51:00.514146+00:00,1405348,6246,18554,LilWayneVEVO,Lil Wayne - Peanuts 2 N Elephants (Visualizer),wayne,2025-06-06,2026-07-15,404,3478.5841584158416,45.92574257425743,winner,clear,legal
Qlr1llwBQt8,b5_post_wayne_04,Big Worm,Lil Wayne,b5,post,2024-09-30,2026-07-15T01:51:00.514146+00:00,1177777,3136,40887,LilWayneVEVO,Lil Wayne - Big Worm,wayne,2024-09-30,2026-07-15,653,1803.6401225114855,62.61408882082695,winner,clear,legal
7DoEYRPiEjo,b5_post_wayne_05,Bells (Visualizer),Lil Wayne,b5,post,2025-06-06,2026-07-15T01:51:00.514146+00:00,2431353,4370,39938,LilWayneVEVO,Lil Wayne - Bells (Visualizer),wayne,2025-06-06,2026-07-15,404,6018.200495049505,98.85643564356435,winner,clear,legal
8LJqoRMyFSo,b5_post_birdman_02,Cap Talk ft. YoungBoy Never Broke Again,Birdman,b5,post,2019-04-26,2026-07-15T01:51:00.514146+00:00,31013429,9690,318351,BirdmanVEVO,Birdman - Cap Talk ft. YoungBoy Never Broke Again,birdman,2019-04-26,2026-07-15,2637,11760.875616230565,120.72468714448236,loser,clear,legal
b3S0N20zxCU,b5_post_birdman_03,Just Another Gangsta ft. Juvenile,Birdman,b5,post,2019-02-22,2026-07-15T01:51:00.514146+00:00,18229896,14165,210091,BirdmanVEVO,"Birdman, Juvenile - Just Another Gangsta",birdman,2019-02-22,2026-07-15,2700,6751.8133333333335,77.81148148148148,loser,clear,legal
49Ggx4ZafL8,b5_post_birdman_04,"Ride Dat ft. Juvenile, Lil Wayne",Birdman,b5,post,2019-09-13,2026-07-15T01:51:00.514146+00:00,5044126,6069,90914,BirdmanVEVO,"Birdman, Juvenile - Ride Dat ft. Lil Wayne",birdman,2019-09-13,2026-07-15,2497,2020.0744893872647,36.40929114937926,loser,clear,legal
a78G2OPKuD8,b5_post_birdman_05,"STUNNAMAN ft. Roddy Ricch, Lil Wayne",Birdman,b5,post,2021-05-21,2026-07-15T01:51:00.514146+00:00,10535452,9390,189159,BirdmanVEVO,"Birdman, Roddy Ricch, Lil Wayne - STUNNAMAN (Official Video)",birdman,2021-05-21,2026-07-15,1881,5600.984582668793,100.56299840510367,loser,clear,legal
OdxSbc0ap-s,b6_post_megan_02,Mamushi ft. Yuki Chiba,Megan Thee Stallion,b6,post,2024-08-09,2026-07-15T01:51:00.514146+00:00,101052544,46380,1745877,Megan Thee Stallion,Megan Thee Stallion - Mamushi (feat. Yuki Chiba) [Official Video],megan,2024-08-09,2026-07-15,705,143336.94184397164,2476.4212765957445,winner,disputed,rap_battle
TpYTyAaTRts,b6_post_megan_03,Neva Play ft. RM,Megan Thee Stallion,b6,post,2024-09-06,2026-07-15T01:51:00.514146+00:00,55264392,93950,1736305,Megan Thee Stallion,Megan Thee Stallion - Neva Play (feat. RM) [Official Video],megan,2024-09-06,2026-07-15,677,81631.30280649927,2564.704579025111,winner,disputed,rap_battle
QxTkZTLWdo4,b6_post_megan_04,Bigger In Texas,Megan Thee Stallion,b6,post,2024-10-25,2026-07-15T01:51:00.514146+00:00,30461111,17737,371678,Megan Thee Stallion,Megan Thee Stallion - Bigger In Texas [Official Video],megan,2024-10-25,2026-07-15,628,48504.953821656054,591.843949044586,winner,disputed,rap_battle
OBfCeimLNvQ,b6_post_nicki_02,Arctic Tundra ft. Juice WRLD,Nicki Minaj,b6,post,2024-11-22,2026-07-15T01:51:00.514146+00:00,2151370,7772,73245,NickiMinajAtVEVO,Nicki Minaj - Arctic Tundra (Visualizer) ft. Juice WRLD,nicki,2024-11-22,2026-07-15,600,3585.616666666667,122.075,loser,disputed,rap_battle
p7wJgqeD7wI,b6_post_nicki_03,"If It's Okay ft. David Guetta, Davido",Nicki Minaj,b6,post,2024-11-22,2026-07-15T01:51:00.514146+00:00,1652232,3991,51252,NickiMinajAtVEVO,"Nicki Minaj - If It's Okay (Visualizer) ft. David Guetta, Davido",nicki,2024-11-22,2026-07-15,600,2753.72,85.42,loser,disputed,rap_battle
zI383uEwA6Q,b1_catalog_kendrick_02,N95,Kendrick Lamar,b1,catalog,2022-05-14,2026-07-15T01:51:00.514146+00:00,109413575,59316,1838681,KendrickLamarVEVO,Kendrick Lamar - N95,kendrick,2022-05-14,2026-07-15,1523,71840.82403151675,1207.2757715036114,winner,clear,rap_battle
6nTcdw7bVdc,b1_catalog_kendrick_03,Count Me Out (Official Audio),Kendrick Lamar,b1,catalog,2022-05-13,2026-07-15T01:51:00.514146+00:00,55235072,10998,541838,Kendrick Lamar,Kendrick Lamar - Count Me Out (Official Audio),kendrick,2022-05-13,2026-07-15,1524,36243.485564304465,355.53674540682414,winner,clear,rap_battle
toBTPGfurLc,b1_catalog_kendrick_04,Rich Spirit,Kendrick Lamar,b1,catalog,2022-11-16,2026-07-15T01:51:00.514146+00:00,54628809,24422,854228,Kendrick Lamar,Kendrick Lamar - Rich Spirit,kendrick,2022-11-16,2026-07-15,1337,40859.243829468964,638.9139865370232,winner,clear,rap_battle
Lx3MGrafykU,b1_catalog_kendrick_05,Die Hard ft. Blxst & Amanda Reifer,Kendrick Lamar,b1,catalog,2022-05-13,2026-07-15T01:51:00.514146+00:00,36071981,8761,373783,Kendrick Lamar,Kendrick Lamar - Die Hard ft. Blxst & Amanda Reifer (Official Audio),kendrick,2022-05-13,2026-07-15,1524,23669.278871391078,245.26443569553805,winner,clear,rap_battle
THVbtGqEO1o,b1_catalog_drake_02,Fair Trade ft. Travis Scott,Drake,b1,catalog,2021-09-03,2026-07-15T01:51:00.514146+00:00,143791003,18423,1019355,DrakeVEVO,Drake - Fair Trade (Audio) ft. Travis Scott,drake,2021-09-03,2026-07-15,1776,80963.40259009009,573.9611486486486,loser,clear,rap_battle
XqpQpt_cmhE,b1_catalog_drake_03,"Knife Talk ft. 21 Savage, Project Pat",Drake,b1,catalog,2021-11-05,2026-07-15T01:51:00.514146+00:00,128815659,30564,1102106,DrakeVEVO,"Drake - Knife Talk (Official Video) ft. 21 Savage, Project Pat",drake,2021-11-05,2026-07-15,1713,75198.86690017513,643.3776999416228,loser,clear,rap_battle
V7UgPHjN9qE,b1_catalog_drake_04,Jimmy Cooks ft. 21 Savage,Drake,b1,catalog,2022-06-17,2026-07-15T01:51:00.514146+00:00,123759579,14661,928345,DrakeVEVO,Drake - Jimmy Cooks (Audio) ft. 21 Savage,drake,2022-06-17,2026-07-15,1489,83115.90261920753,623.4687709872397,loser,clear,rap_battle
vX9msKu75qs,b1_catalog_drake_05,"Way 2 Sexy ft. Future, Young Thug",Drake,b1,catalog,2021-09-03,2026-07-15T01:51:00.514146+00:00,111340671,49907,1327070,DrakeVEVO,Drake ft. Future and Young Thug - Way 2 Sexy (Official Video),drake,2021-09-03,2026-07-15,1776,62691.81925675676,747.2240990990991,loser,clear,rap_battle
R0NpahenvAg,b2_catalog_pusha_02,"M.P.A. ft. Kanye West, A$AP Rocky, The-Dream",Pusha T,b2,catalog,2016-01-01,2026-07-15T01:51:00.514146+00:00,12080483,3046,119434,PushaTVEVO,"Pusha T - M.P.A. (Explicit) ft. Kanye West, A$AP ROCKY, The-Dream",pusha,2016-01-01,2026-07-15,3848,3139.418659043659,31.037941787941786,winner,clear,rap_battle
NPI_6MX74j4,b2_catalog_pusha_03,Untouchable,Pusha T,b2,catalog,2015-11-20,2026-07-15T01:51:00.514146+00:00,9293640,3763,104566,PushaTVEVO,Pusha T - Untouchable (Explicit Official Video),pusha,2015-11-20,2026-07-15,3890,2389.1105398457585,26.880719794344472,winner,clear,rap_battle
crCFDQyfORM,b2_catalog_pusha_04,"Crutches, Crosses, Caskets",Pusha T,b2,catalog,2015-12-14,2026-07-15T01:51:00.514146+00:00,2211523,1420,24882,PushaTVEVO,"Pusha T - Crutches, Crosses, Caskets (Explicit Official Video)",pusha,2015-12-14,2026-07-15,3866,572.0442317640973,6.436109674081738,winner,clear,rap_battle
tPp7dNDe00U,b2_catalog_pusha_05,Drug Dealers Anonymous,Pusha T,b2,catalog,2016-06-28,2026-07-15T01:51:00.514146+00:00,1618475,868,16969,PushaTVEVO,Pusha T - Drug Dealers Anonymous (Audio),pusha,2016-06-28,2026-07-15,3669,441.12155900790407,4.624965930771327,winner,clear,rap_battle
uxpDa-c-4Mc,b2_catalog_drake_02,Hotline Bling,Drake,b2,catalog,2015-10-26,2026-07-15T01:51:00.514146+00:00,2143042134,459920,11570206,DrakeVEVO,Drake - Hotline Bling,drake,2015-10-26,2026-07-15,3915,547392.6268199234,2955.3527458492977,loser,clear,rap_battle
7LnBvuzjpr4,b2_catalog_drake_03,Energy,Drake,b2,catalog,2015-08-18,2026-07-15T01:51:00.514146+00:00,372658218,51059,2435249,DrakeVEVO,Drake - Energy,drake,2015-08-18,2026-07-15,3984,93538.7093373494,611.2572791164658,loser,clear,rap_battle
vcer12OFU2g,b2_catalog_drake_04,One Dance (Live On SNL),Drake,b2,catalog,2016-05-15,2026-07-15T01:51:00.514146+00:00,29700237,16603,267592,DrakeVEVO,"Drake - One Dance (Live On SNL) ft. Wizkid, Kyla",drake,2016-05-15,2026-07-15,3713,7998.986533800162,72.06894694317263,loser,clear,rap_battle
oeCihv9A3ac,b4_catalog_eminem_02,Phenomenal,Eminem,b4,catalog,2015-10-01,2026-07-15T01:51:00.514146+00:00,50490060,46648,794501,EminemVEVO,Eminem - Phenomenal,eminem,2015-10-01,2026-07-15,3940,12814.736040609137,201.65,winner,clear,rap_battle
_Ci6LhAmYJk,b4_catalog_eminem_03,Infinite (F.B.T. Remix),Eminem,b4,catalog,2016-11-18,2026-07-15T01:51:00.514146+00:00,14308819,21554,294971,EminemVEVO,Eminem - Infinite (F.B.T. Remix) [Official Audio],eminem,2016-11-18,2026-07-15,3526,4058.088201928531,83.65598411798071,winner,clear,rap_battle
tgvbhxb9yk8,b4_catalog_mgk_02,At My Best ft. Hailee Steinfeld,MGK,b4,catalog,2017-04-21,2026-07-15T01:51:00.514146+00:00,78526447,15537,795750,MGKVEVO,Machine Gun Kelly - At My Best ft. Hailee Steinfeld (Official Music Video),mgk,2017-04-21,2026-07-15,3372,23287.795670225387,235.98754448398577,loser,clear,rap_battle
BuSBo8AVpV0,b4_catalog_mgk_03,Young Man ft. Chief Keef,MGK,b4,catalog,2016-09-22,2026-07-15T01:51:00.514146+00:00,59387704,14186,478136,MGKVEVO,Machine Gun Kelly - Young Man ft. Chief Keef (Official Music Video),mgk,2016-09-22,2026-07-15,3583,16574.854591124757,133.44571588054703,loser,clear,rap_battle
