video_id,key,song_name,artist_name,beef_id,track_category,release_date,collected_at,view_count,comment_count,like_count,channel_title,video_title
SD4yRDY9mek,b1_post_drake_02,Janice STFU,Drake,b1,post,2026-05-15,2026-07-15T01:51:00.514146+00:00,43578955,34360,486741,DrakeVEVO,Drake - Janice STFU
MoR47PedfaU,b1_post_drake_03,shabang,Drake,b1,post,2026-05-16,2026-07-15T01:51:00.514146+00:00,16762192,9348,181946,DrakeVEVO,Drake - shabang
ESRCdJHbvnU,b1_post_drake_04,2 Hard 4 The Radio,Drake,b1,post,2026-05-16,2026-07-15T01:51:00.514146+00:00,9570779,11480,143607,DrakeVEVO,Drake - 2 Hard 4 The Radio
Z8wKeg_nRVI,b1_post_drake_05,B's On The Table,Drake,b1,post,2026-05-16,2026-07-15T01:51:00.514146+00:00,7769832,4853,101162,DrakeVEVO,"Drake, 21 Savage - B’s On The Table"
sF5IU-Pyn2A,b2_post_pusha_02,Puppets (Succession Remix),Pusha T,b2,post,2019-10-11,2026-07-15T01:51:00.514146+00:00,951617,717,16814,PushaTVEVO,"Pusha T, Nicholas Britell - Puppets (Succession Remix - Official Audio)"
9bx_r7H7eF8,b2_post_pusha_03,Coming Home ft. Ms. Lauryn Hill,Pusha T,b2,post,2019-08-28,2026-07-15T01:51:00.514146+00:00,3403526,3802,56146,PushaTVEVO,Pusha T - Coming Home ft. Ms. Lauryn Hill (Official Audio)
xq3eNq43C-0,b2_post_pusha_04,Sociopath ft. Kash Doll,Pusha T,b2,post,2019-08-28,2026-07-15T01:51:00.514146+00:00,458023,603,9276,PushaTVEVO,Pusha T - Sociopath ft. Kash Doll (Official Audio)
JFm7YDVlqnI,b2_post_drake_02,Laugh Now Cry Later ft. Lil Durk,Drake,b2,post,2020-08-14,2026-07-15T01:51:00.514146+00:00,585766734,150566,4602705,DrakeVEVO,Drake - Laugh Now Cry Later (Official Music Video) ft. Lil Durk
lJTRVX9R5EA,b2_post_drake_03,Nonstop,Drake,b2,post,2018-08-04,2026-07-15T01:51:00.514146+00:00,124270903,31146,1219815,DrakeVEVO,Drake - Nonstop
V7UgPHjN9qE,b2_post_drake_04,Jimmy Cooks ft. 21 Savage,Drake,b2,post,2022-06-17,2026-07-15T01:51:00.514146+00:00,123759579,14661,928345,DrakeVEVO,Drake - Jimmy Cooks (Audio) ft. 21 Savage
vX9msKu75qs,b2_post_drake_05,"Way 2 Sexy ft. Future, Young Thug",Drake,b2,post,2021-09-03,2026-07-15T01:51:00.514146+00:00,111340671,49907,1327070,DrakeVEVO,Drake ft. Future and Young Thug - Way 2 Sexy (Official Video)
3qFvCPmee8U,b4_post_eminem_02,Godzilla ft. Juice WRLD,Eminem,b4,post,2020-03-04,2026-07-15T01:51:00.514146+00:00,66950042,45454,1457792,EminemVEVO,Eminem - Godzilla (Lyric Video) ft. Juice WRLD
FVeZcM6tBQU,b4_post_eminem_03,"Killer (Remix) ft. Jack Harlow, Cordae",Eminem,b4,post,2021-05-28,2026-07-15T01:51:00.514146+00:00,33660694,35310,647582,EminemVEVO,"Eminem - Killer (Remix) [Official Audio] ft. Jack Harlow, Cordae"
RjrA-slMoZ4,b4_post_eminem_04,From The D 2 The LBC,Eminem,b4,post,2022-06-24,2026-07-15T01:51:00.514146+00:00,120060672,101985,2739316,EminemVEVO,Eminem & Snoop Dogg - From The D 2 The LBC [Official Music Video]
X-TkrWpO75k,b4_post_eminem_05,Good Guy ft. Jessie Reyez,Eminem,b4,post,2018-12-07,2026-07-15T01:51:00.514146+00:00,56224134,48805,1041784,EminemVEVO,Eminem - Good Guy (Official Music Video) ft. Jessie Reyez
J_n01uvyhI8,b4_post_mgk_02,my ex's best friend ft. blackbear,MGK,b4,post,2020-08-26,2026-07-15T01:51:00.514146+00:00,149011716,35592,1221785,MGKVEVO,Machine Gun Kelly ft. blackbear - my ex's best friend (Official Music Video)
