Topic,Count,Name,Representation,Representative_Docs
19,80,19_vibes_vibe_90s_2000s,"['vibes', 'vibe', '90s', '2000s', 'love', '90', 'early', '2000', 'neptunes', 'this']","['2000s vibes right here!', '90s hip hop vibes', 'love the vibes on this one']"
20,80,20_freddie_benny_butcher_conway,"['freddie', 'benny', 'butcher', 'conway', 'tupac', 'and', 'is', 'on', 'top', 'griselda']","['freddie so underrated bro he so trill man, also after listening a few times benny flow cold but damn freddie took it to another level', 'freddie rap over my track', 'freddie, my day is better for this.']"
21,78,21_intro_end_part_song,"['intro', 'end', 'part', 'song', 'the', 'ending', 'what', 'beginning', 'at', 'is']","[""what's the sample on intro?"", ""what's the end song?"", 'what’s the song at the end???']"
22,75,22_stealthy_doing_helps_process,"['stealthy', 'doing', 'helps', 'process', 'feelings', '11', 'oloff', 'dread', 'existential', 'experiencing']","['doing it stealthy helps me to process my feelings about 9/11.', 'doing it stealthy helps me to process my feelings about 9/11.', 'doing it stealthy helps me to process my feelings about 9/11.']"
23,70,23_money_rich_you_hrr,"['money', 'rich', 'you', 'hrr', 'bought', 'hire', 'pay', 'to', 'away', 'cash']","['money on my mind', 'when a jew tells you we give away money, then @stevewilldoit and @shanestoffer are actually giving away money. the answer is no. i tracked and reached out to all those imaginary winners and giveaways but none confirmed they received the full giveaway money, i even did it with @nelkfilmz with their fake 10k giveaway. wake up', ""scared money don't make no money 😂""]"
24,69,24_goat_brian_the_is,"['goat', 'brian', 'the', 'is', 'ɟɟolo', 'ʇnoqɐ', 'ǝʞɐɯ', 'ʇᴉ', 'puɐ', 'ƃuos']","['the goat of the world', 'the goat is back', ""he's the goat 🇭🇹🎧""]"
25,66,25_21_old_20_was,"['21', 'old', '20', 'was', 'he', 'year', '80', '26', 'at', 'score']","['the real 21 is back 🔥🔥', '21 he’s the real one 🇿🇦', 'that old 21 🔪👿']"
26,60,26_we_chase_can_know,"['we', 'chase', 'can', 'know', 'die', 'take', 'the', 'any', 'limits', 'industry']","['""they know that we a problem together, they know that we can storm any weather"" this is straight fax!!', '“can’t take it when you die but you can’t live without it”', '""i see the only piece on the board that can\'t be contained."" then a woman walks in he room.... we know a men we feel like we rule the world but we know a woman can change our whole beings and lock us down doin things we never thought we would do.']"
27,58,27_banger_this_ozark_certified,"['banger', 'this', 'ozark', 'certified', 'daylyt', 'tho', 'is', 'bouncing', 'wrote', 'album']","['all time favorite banger', 'what a banger 🔥🧨', 'this is a banger']"
28,57,28_beef_bowl_beefing_bite,"['beef', 'bowl', 'beefing', 'bite', 'everyone', 'the', 'rap', 'beefs', 'they', 'lost']","['is a beef bowl?? that explains the disses (beef)😂', 'beef ? (2025 music)', ""the lyrics had nothing to do with , so as a japanese person, i made lyrics about . rap (verse 1) feeling hungry, heading to , one bowl of beef, filling up my stamina. tradition since 1899, the secret to the taste is in the sauce and meat combined. (chorus) beef bowl, beef bowl, 's beef bowl, warming the heart and body with this single dish. tender beef sitting on top of rice, a miracle in every bite that everyone loves. (verse 2) morning, noon, or night, it’s , 's beef bowl is ready to play. beef simmered with onions just right, one bite and everyone’s in for a repeat delight. (chorus) beef bowl, beef bowl, 's beef bowl, warming the heart and body with this single dish. tender beef sitting on top of rice, a miracle in every bite that everyone loves.""]"
